Sprint_ID,Start_Date,End_Date,Task_ID,Task_Type,Story_Points,Status,Resolution,Component,Notes
S01,2023-12-04,2023-12-17,BA-101,Story,8,Done,Fixed,Core_Auth,"Initial setup"
S01,2023-12-04,2023-12-17,BA-102,Story,13,Done,Fixed,DB_Schema,"Patient tables"
S01,2023-12-04,2023-12-17,BA-103,Story,20,Done,Fixed,Frontend_Base,"Dashboard UI"
S01,2023-12-04,2023-12-17,BA-104,Story,13,Done,Fixed,API_Gateway,"Basic routing"
S01,2023-12-04,2023-12-17,BA-105,Story,20,Done,Fixed,User_Management,"Roles & Permissions"
S01,2023-12-04,2023-12-17,BA-106,Story,13,Done,Fixed,Logging,"Activity logs"
S01,2023-12-04,2023-12-17,BA-107,Bug,5,Done,Fixed,Core_Auth,"Login fix"
S01,2023-12-04,2023-12-17,BA-108,Story,8,Done,Fixed,Notification,"Email service"
# Sprint 1 Total EV: 100

S02,2023-12-18,2023-12-31,BA-201,Story,20,Done,Fixed,Patient_Profile,"CRUD operations"
S02,2023-12-18,2023-12-31,BA-202,Story,13,Done,Fixed,Search_Engine,"Elasticsearch integration"
S02,2023-12-18,2023-12-31,BA-203,Story,13,Done,Fixed,Insurance_Base,"Basic models"
S02,2023-12-18,2023-12-31,BA-204,Story,20,Done,Fixed,Appointment,"Scheduler module"
S02,2023-12-18,2023-12-31,BA-205,Story,13,Done,Fixed,Reports,"Daily stats"
S02,2023-12-18,2023-12-31,BA-206,Story,13,Done,Fixed,Frontend_Patient,"Profile forms"
S02,2023-12-18,2023-12-31,BA-207,Bug,8,Done,Fixed,DB_Schema,"Migration fix"
S02,2023-12-18,2023-12-31,BA-208,Story,5,Done,Fixed,Settings,"Config panel"
# Sprint 2 Total EV: 105

S03,2024-01-01,2024-01-14,BA-301,Story,40,Done,Fixed,EHR_Module,"Core medical records"
S03,2024-01-01,2024-01-14,BA-302,Story,20,Done,Fixed,Doctor_Panel,"Physician dashboard"
S03,2024-01-01,2024-01-14,BA-303,Story,13,Done,Fixed,Lab_Interface,"Result upload"
S03,2024-01-01,2024-01-14,BA-304,Story,13,Done,Fixed,Prescription,"Basic write"
S03,2024-01-01,2024-01-14,BA-305,Bug,8,Done,Fixed,Search_Engine,"Index sync issue"
S03,2024-01-01,2024-01-14,BA-306,Story,13,Done,Fixed,Frontend_EHR,"Forms UI"
# Sprint 3 Total EV: 107

# --- PHASE 2: THE RUSH (High Debt Accumulation) ---

S04,2024-01-15,2024-01-28,BA-401,Story,40,Done,Fixed,OTP_Auth,"URGENT: SMS OTP Implementation"
S04,2024-01-15,2024-01-28,BA-402,Story,20,Done,Fixed,Claim_Submission,"Tamin API v1"
S04,2024-01-15,2024-01-28,BA-403,Story,20,Done,Fixed,Claim_Submission,"Salamat API v1"
S04,2024-01-15,2024-01-28,BA-404,Story,13,Done,Fixed,Frontend_Auth,"Login redesign"
S04,2024-01-15,2024-01-28,BA-405,Story,13,Done,Fixed,Token_Manager,"JWT handling (Insecure)"
S04,2024-01-15,2024-01-28,BA-406,Bug,5,Done,Fixed,API_Gateway,"Timeout fix"
